Wavelength,Absorbance
1930.375,0.008
1928.447,0.008
1926.518,0.009
1924.590,0.009
1922.661,0.010
1920.733,0.010
1918.804,0.011
1916.876,0.011
1914.948,0.011
1913.019,0.011
1911.091,0.011
1909.162,0.011
1907.234,0.011
1905.305,0.011
1903.377,0.011
1901.448,0.011
1899.520,0.011
1897.591,0.011
1895.663,0.011
1893.734,0.011
1891.806,0.011
1889.878,0.011
1887.949,0.011
1886.021,0.011
1884.092,0.011
1882.164,0.011
1880.235,0.012
1878.307,0.011
1876.379,0.011
1874.450,0.011
1872.522,0.011
1870.593,0.011
1868.665,0.012
1866.736,0.012
1864.808,0.012
1862.879,0.012
1860.951,0.012
1859.022,0.011
1857.094,0.011
1855.166,0.011
1853.237,0.011
1851.309,0.012
1849.380,0.012
1847.452,0.013
1845.523,0.014
1843.595,0.015
1841.667,0.015
1839.738,0.015
1837.810,0.016
1835.881,0.016
1833.953,0.017
1832.024,0.017
1830.096,0.018
1828.167,0.019
1826.239,0.019
1824.310,0.020
1822.382,0.020
1820.454,0.021
1818.525,0.021
1816.597,0.022
1814.668,0.023
1812.740,0.024
1810.811,0.025
1808.883,0.026
1806.954,0.027
1805.026,0.028
1803.098,0.029
1801.169,0.030
1799.241,0.031
1797.312,0.033
1795.384,0.034
1793.455,0.035
1791.527,0.035
1789.598,0.037
1787.670,0.038
1785.742,0.039
1783.813,0.040
1781.885,0.042
1779.956,0.044
1778.028,0.046
1776.099,0.048
1774.171,0.051
1772.242,0.054
1770.314,0.058
1768.385,0.062
1766.457,0.067
1764.529,0.074
1762.600,0.083
1760.672,0.095
1758.743,0.110
1756.815,0.131
1754.886,0.161
1752.958,0.201
1751.030,0.249
1749.101,0.307
1747.173,0.372
1745.244,0.446
1743.316,0.520
1741.387,0.595
1739.459,0.672
1737.530,0.750
1735.602,0.825
1733.673,0.893
1731.745,0.947
1729.817,0.982
1727.888,1.000
1725.960,0.998
1724.031,0.974
1722.103,0.932
1720.174,0.882
1718.246,0.830
1716.318,0.780
1714.389,0.739
1712.461,0.709
1710.532,0.692
1708.604,0.691
1706.675,0.699
1704.747,0.708
1702.818,0.707
1700.890,0.692
1698.961,0.663
1697.033,0.620
1695.104,0.568
1693.176,0.512
1691.248,0.455
1689.319,0.401
1687.391,0.352
1685.462,0.309
1683.534,0.270
1681.605,0.234
1679.677,0.203
1677.749,0.179
1675.820,0.160
1673.892,0.146
1671.963,0.134
1670.035,0.122
1668.106,0.112
1666.178,0.104
1664.249,0.097
1662.321,0.091
1660.393,0.086
1658.464,0.083
1656.536,0.079
1654.607,0.077
1652.679,0.075
1650.750,0.074
1648.822,0.073
1646.893,0.074
1644.965,0.077
1643.036,0.081
1641.108,0.086
1639.180,0.089
1637.251,0.090
1635.323,0.089
1633.394,0.086
1631.466,0.082
1629.537,0.077
1627.609,0.074
1625.680,0.073
1623.752,0.077
1621.824,0.084
1619.895,0.093
1617.967,0.102
1616.038,0.111
1614.110,0.119
1612.181,0.124
1610.253,0.128
1608.324,0.132
1606.396,0.139
1604.468,0.152
1602.539,0.170
1600.611,0.188
1598.682,0.204
1596.754,0.212
1594.825,0.210
1592.897,0.196
1590.968,0.174
1589.040,0.147
1587.112,0.121
1585.183,0.098
1583.255,0.082
1581.326,0.071
1579.398,0.066
1577.469,0.063
1575.541,0.063
1573.612,0.064
1571.684,0.067
1569.755,0.070
1567.827,0.073
1565.899,0.076
1563.970,0.080
1562.042,0.084
1560.113,0.088
1558.185,0.093
1556.256,0.101
1554.328,0.112
1552.400,0.126
1550.471,0.143
1548.543,0.163
1546.614,0.196
1544.686,0.240
1542.757,0.289
1540.829,0.341
1538.900,0.396
1536.972,0.450
1535.043,0.499
1533.115,0.537
1531.187,0.564
1529.258,0.578
1527.330,0.579
1525.401,0.564
1523.473,0.533
1521.544,0.491
1519.616,0.444
1517.688,0.397
1515.759,0.354
1513.831,0.314
1511.902,0.277
1509.974,0.242
1508.045,0.209
1506.117,0.179
1504.188,0.152
1502.260,0.129
1500.331,0.112
1498.403,0.102
1496.475,0.096
1494.546,0.091
1492.618,0.086
1490.689,0.085
1488.761,0.088
1486.832,0.095
1484.904,0.105
1482.975,0.117
1481.047,0.129
1479.119,0.141
1477.190,0.152
1475.262,0.160
1473.333,0.167
1471.405,0.174
1469.476,0.183
1467.548,0.193
1465.619,0.204
1463.691,0.215
1461.763,0.223
1459.834,0.230
1457.906,0.233
1455.977,0.233
1454.049,0.231
1452.120,0.228
1450.192,0.223
1448.263,0.217
1446.335,0.213
1444.406,0.209
1442.478,0.206
1440.550,0.204
1438.621,0.201
1436.693,0.197
1434.764,0.191
1432.836,0.185
1430.907,0.180
1428.979,0.176
1427.051,0.177
1425.122,0.189
1423.194,0.214
1421.265,0.249
1419.337,0.288
1417.408,0.323
1415.480,0.345
1413.551,0.349
1411.623,0.336
1409.694,0.308
1407.766,0.272
1405.838,0.240
1403.909,0.218
1401.981,0.208
1400.052,0.208
1398.124,0.213
1396.195,0.221
1394.267,0.229
1392.339,0.235
1390.410,0.240
1388.482,0.243
1386.553,0.244
1384.625,0.244
1382.696,0.244
1380.768,0.243
1378.839,0.242
1376.911,0.240
1374.982,0.239
1373.054,0.237
1371.125,0.236
1369.197,0.235
1367.269,0.236
1365.340,0.237
1363.412,0.240
1361.483,0.242
1359.555,0.244
1357.626,0.245
1355.698,0.245
1353.770,0.243
1351.841,0.240
1349.913,0.235
1347.984,0.229
1346.056,0.224
1344.127,0.218
1342.199,0.213
1340.270,0.207
1338.342,0.202
1336.413,0.197
1334.485,0.194
1332.557,0.192
1330.628,0.194
1328.700,0.201
1326.771,0.213
1324.843,0.231
1322.914,0.253
1320.986,0.277
1319.057,0.304
1317.129,0.331
1315.201,0.357
1313.272,0.378
1311.344,0.392
1309.415,0.397
1307.487,0.392
1305.558,0.379
1303.630,0.360
1301.701,0.339
1299.773,0.321
1297.845,0.308
1295.916,0.303
1293.988,0.303
1292.059,0.308
1290.131,0.314
1288.202,0.320
1286.274,0.325
1284.345,0.328
1282.417,0.330
1280.489,0.331
1278.560,0.333
1276.632,0.335
1274.703,0.339
1272.775,0.345
1270.846,0.353
1268.918,0.364
1266.989,0.378
1265.061,0.396
1263.133,0.419
1261.204,0.445
1259.276,0.474
1257.347,0.501
1255.419,0.524
1253.490,0.540
1251.562,0.547
1249.633,0.549
1247.705,0.548
1245.776,0.548
1243.848,0.553
1241.920,0.564
1239.991,0.583
1238.063,0.608
1236.134,0.636
1234.206,0.666
1232.277,0.696
1230.349,0.727
1228.421,0.757
1226.492,0.784
1224.564,0.807
1222.635,0.823
1220.707,0.830
1218.778,0.827
1216.850,0.816
1214.921,0.799
1212.993,0.781
1211.064,0.764
1209.136,0.751
1207.208,0.740
1205.279,0.732
